text,x0,x1,top,doctop,bottom,upright,height,width,direction,page
RJ45,1988.94,1999.3851570000002,227.14085849999992,25139.1408585,233.08235850000028,True,5.94150000000036,10.445157000000108,ltr,23
CAT6,2077.02,2086.85591298,224.39349462000018,25136.39349462,229.79487462000043,True,5.401380000000245,9.835912980000103,ltr,23
RJ45,2110.38,2120.8251569999998,227.14085849999992,25139.1408585,233.08235850000028,True,5.94150000000036,10.445156999999654,ltr,23
CTRL,2148.6000000000004,2159.1818115,227.20085849999987,25139.2008585,233.14235850000023,True,5.94150000000036,10.58181149999973,ltr,23
SUBNET,2160.6671865000003,2177.1013755000004,227.20085849999987,25139.2008585,233.14235850000023,True,5.94150000000036,16.43418900000006,ltr,23
RJ45,2204.94,2215.3851569999997,227.14085849999992,25139.1408585,233.08235850000028,True,5.94150000000036,10.445156999999654,ltr,23
CRESTRON,2934.84,2957.1859815000003,227.20085849999987,25139.2008585,233.14235850000023,True,5.94150000000036,22.345981500000107,ltr,23
GLS-PART-CN,2986.68,3013.41675,227.20085849999987,25139.2008585,233.14235850000023,True,5.94150000000036,26.73675000000003,ltr,23
OFE,958.6800000000003,969.4719972000003,231.53021790000003,25143.5302179,239.6323179000001,True,8.102100000000064,10.791997199999969,ltr,23
INPUT,995.7000000000003,1007.7968940000003,232.5408585,25144.5408585,238.48235850000037,True,5.94150000000036,12.09689400000002,ltr,23
OUTPUT,1047.6,1064.0638964999998,232.60085849999996,25144.6008585,238.54235850000032,True,5.94150000000036,16.46389649999992,ltr,23
SMALL,1788.18,1802.1484665,237.9408585000001,25149.9408585,243.88235850000046,True,5.94150000000036,13.968466499999977,ltr,23
TR,1803.6338415,1808.9811915,237.9408585000001,25149.9408585,243.88235850000046,True,5.94150000000036,5.347350000000006,ltr,23
FORTE,1810.4665665,1823.7279945,237.9408585000001,25149.9408585,243.88235850000046,True,5.94150000000036,13.261428000000024,ltr,23
